id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.municipality,children_count.commune,zip_codes,geo.lat,geo.lon
AO01,1,Província,Province,Bengo,Bengo,bengo-ao01,AO01,,,,,,6,23,,-8.283,13.987
AO01001,2,Município,Municipality,Ambriz,Ambriz,ambriz-ao01001,AO01001,,AO01,Bengo,Bengo,,,3,,-7.972,13.511
AO01002,2,Município,Municipality,Dande,Dande,dande-ao01002,AO01002,,AO01,Bengo,Bengo,,,6,,-8.5,13.813
AO01005,2,Município,Municipality,Nambuangongo,Nambuangongo,nambuangongo-ao01005,AO01005,,AO01,Bengo,Bengo,,,7,,-8.042,14.284
AO01040,2,Município,Municipality,Bula-Atumba,Bula-Atumba,bula-atumba-ao01040,AO01040,,AO01,Bengo,Bengo,,,2,,-8.602,14.853
AO01043,2,Município,Municipality,Dembos-Quibaxe,Dembos-Quibaxe,dembos-quibaxe-ao01043,AO01043,,AO01,Bengo,Bengo,,,4,,-8.548,14.532
AO01047,2,Município,Municipality,Pango-Aluquém,Pango-Aluquém,pango-aluqum-ao01047,AO01047,,AO01,Bengo,Bengo,,,1,,-8.754,14.495
AO02,1,Província,Province,Benguela,Benguela,benguela-ao02,AO02,,,,,,10,35,,-12.819,13.9
AO02006,2,Município,Municipality,Baía Farta,Baía Farta,baa-farta-ao02006,AO02006,,AO02,Benguela,Benguela,,,4,,-13.104,13.257
AO02007,2,Município,Municipality,Balombo,Balombo,balombo-ao02007,AO02007,,AO02,Benguela,Benguela,,,3,,-12.355,14.752
AO02008,2,Município,Municipality,Benguela,Benguela,benguela-ao02008,AO02008,,AO02,Benguela,Benguela,,,1,,-12.811,13.612
AO02009,2,Município,Municipality,Bocoio,Bocoio,bocoio-ao02009,AO02009,,AO02,Benguela,Benguela,,,5,,-12.287,14.22
AO02010,2,Município,Municipality,Caimbambo,Caimbambo,caimbambo-ao02010,AO02010,,AO02,Benguela,Benguela,,,5,,-13.082,13.95
AO02011,2,Município,Municipality,Chongoroi,Chongoroi,chongoroi-ao02011,AO02011,,AO02,Benguela,Benguela,,,2,,-13.499,13.761
AO02012,2,Município,Municipality,Cubal,Cubal,cubal-ao02012,AO02012,,AO02,Benguela,Benguela,,,4,,-13.157,14.392
AO02013,2,Município,Municipality,Ganda,Ganda,ganda-ao02013,AO02013,,AO02,Benguela,Benguela,,,5,,-13.122,14.764
AO02014,2,Município,Municipality,Lobito,Lobito,lobito-ao02014,AO02014,,AO02,Benguela,Benguela,,,3,,-12.096,13.899
AO02164,2,Município,Municipality,Catumbela,Catumbela,catumbela-ao02164,AO02164,,AO02,Benguela,Benguela,,,3,,-12.497,13.652
AO03,1,Província,Province,Bié,Bié,bi-ao03,AO03,,,,,,9,36,,-12.442,17.417
AO03015,2,Município,Municipality,Andulo,Andulo,andulo-ao03015,AO03015,,AO03,Bié,Bié,,,4,,-11.253,16.425
AO03016,2,Município,Municipality,Camacupa,Camacupa,camacupa-ao03016,AO03016,,AO03,Bié,Bié,,,5,,-12.38,17.712
AO03017,2,Município,Municipality,Catabola,Catabola,catabola-ao03017,AO03017,,AO03,Bié,Bié,,,4,,-12.138,17.248
AO03018,2,Município,Municipality,Chinguar,Chinguar,chinguar-ao03018,AO03018,,AO03,Bié,Bié,,,3,,-12.547,16.52
AO03019,2,Município,Municipality,Chitembo,Chitembo,chitembo-ao03019,AO03019,,AO03,Bié,Bié,,,6,,-13.579,17.243
AO03020,2,Município,Municipality,Cuemba,Cuemba,cuemba-ao03020,AO03020,,AO03,Bié,Bié,,,4,,-11.734,18.302
AO03021,2,Município,Municipality,Cunhinga,Cunhinga,cunhinga-ao03021,AO03021,,AO03,Bié,Bié,,,1,,-11.974,16.822
AO03022,2,Município,Municipality,Cuito (Kuito),Cuito (Kuito),cuito-kuito-ao03022,AO03022,,AO03,Bié,Bié,,,4,,-12.469,17.004
AO03023,2,Município,Municipality,N'harea,N'harea,nharea-ao03023,AO03023,,AO03,Bié,Bié,,,5,,-11.288,17.222
AO04,1,Província,Province,Cabinda,Cabinda,cabinda-ao04,AO04,,,,,,4,12,,-5.083,12.26
AO04024,2,Município,Municipality,Belize,Belize,belize-ao04024,AO04024,,AO04,Cabinda,Cabinda,,,3,,-4.587,12.839
AO04025,2,Município,Municipality,Buco Zau,Buco Zau,buco-zau-ao04025,AO04025,,AO04,Cabinda,Cabinda,,,3,,-4.817,12.546
AO04026,2,Município,Municipality,Cabinda,Cabinda,cabinda-ao04026,AO04026,,AO04,Cabinda,Cabinda,,,3,,-5.442,12.376
AO04027,2,Município,Municipality,Cacongo (Landana),Cacongo (Landana),cacongo-landana-ao04027,AO04027,,AO04,Cabinda,Cabinda,,,3,,-5.022,12.238
AO05,1,Província,Province,Cuando Cubango,Cuando Cubango,cuando-cubango-ao05,AO05,,,,,,9,27,,-15.803,19.467
AO05028,2,Município,Municipality,Calai,Calai,calai-ao05028,AO05028,,AO05,Cuando Cubango,Cuando Cubango,,,2,,-17.338,19.476
AO05029,2,Município,Municipality,Cuangar,Cuangar,cuangar-ao05029,AO05029,,AO05,Cuando Cubango,Cuando Cubango,,,3,,-17.095,18.15
AO05030,2,Município,Municipality,Cuchi,Cuchi,cuchi-ao05030,AO05030,,AO05,Cuando Cubango,Cuando Cubango,,,3,,-14.739,17.009
AO05031,2,Município,Municipality,Cuito Cuanavale,Cuito Cuanavale,cuito-cuanavale-ao05031,AO05031,,AO05,Cuando Cubango,Cuando Cubango,,,4,,-14.852,19.023
AO05032,2,Município,Municipality,Dirico,Dirico,dirico-ao05032,AO05032,,AO05,Cuando Cubango,Cuando Cubango,,,3,,-17.517,20.731
AO05033,2,Município,Municipality,Mavinga,Mavinga,mavinga-ao05033,AO05033,,AO05,Cuando Cubango,Cuando Cubango,,,4,,-16.142,20.091
AO05034,2,Município,Municipality,Menongue,Menongue,menongue-ao05034,AO05034,,AO05,Cuando Cubango,Cuando Cubango,,,3,,-15.152,17.723
AO05035,2,Município,Municipality,Nancova,Nancova,nancova-ao05035,AO05035,,AO05,Cuando Cubango,Cuando Cubango,,,2,,-16.448,18.697
AO05036,2,Município,Municipality,Rivungo,Rivungo,rivungo-ao05036,AO05036,,AO05,Cuando Cubango,Cuando Cubango,,,3,,-16.771,21.921
AO06,1,Província,Province,Cuanza Norte,Cuanza Norte,cuanza-norte-ao06,AO06,,,,,,10,31,,-8.859,15.096
AO06037,2,Município,Municipality,Ambaca,Ambaca,ambaca-ao06037,AO06037,,AO06,Cuanza Norte,Cuanza Norte,,,5,,-8.248,15.485
AO06038,2,Município,Municipality,Banga,Banga,banga-ao06038,AO06038,,AO06,Cuanza Norte,Cuanza Norte,,,5,,-8.709,15.136
AO06039,2,Município,Municipality,Bolongongo,Bolongongo,bolongongo-ao06039,AO06039,,AO06,Cuanza Norte,Cuanza Norte,,,3,,-8.384,15.134
AO06041,2,Município,Municipality,Cambambe (Kambambe),Cambambe (Kambambe),cambambe-kambambe-ao06041,AO06041,,AO06,Cuanza Norte,Cuanza Norte,,,5,,-9.315,14.293
AO06042,2,Município,Municipality,Cazengo,Cazengo,cazengo-ao06042,AO06042,,AO06,Cuanza Norte,Cuanza Norte,,,2,,-9.285,14.74
AO06044,2,Município,Municipality,Golungo Alto,Golungo Alto,golungo-alto-ao06044,AO06044,,AO06,Cuanza Norte,Cuanza Norte,,,4,,-9.043,14.657
AO06045,2,Município,Municipality,Lucala,Lucala,lucala-ao06045,AO06045,,AO06,Cuanza Norte,Cuanza Norte,,,2,,-9.144,15.272
AO06046,2,Município,Municipality,Ngonguembo,Ngonguembo,ngonguembo-ao06046,AO06046,,AO06,Cuanza Norte,Cuanza Norte,,,2,,-8.902,14.845
AO06048,2,Município,Municipality,Quiculungo,Quiculungo,quiculungo-ao06048,AO06048,,AO06,Cuanza Norte,Cuanza Norte,,,1,,-8.493,15.295
AO06049,2,Município,Municipality,Samba Cajú,Samba Cajú,samba-caj-ao06049,AO06049,,AO06,Cuanza Norte,Cuanza Norte,,,2,,-8.816,15.486
AO07,1,Província,Province,Cuanza Sul,Cuanza Sul,cuanza-sul-ao07,AO07,,,,,,12,36,,-10.942,15.049
AO07050,2,Município,Municipality,Amboim (Gabela),Amboim (Gabela),amboim-gabela-ao07050,AO07050,,AO07,Cuanza Sul,Cuanza Sul,,,2,,-10.9,14.402
AO07051,2,Município,Municipality,Cassongue,Cassongue,cassongue-ao07051,AO07051,,AO07,Cuanza Sul,Cuanza Sul,,,4,,-11.787,14.961
AO07052,2,Município,Municipality,Conda,Conda,conda-ao07052,AO07052,,AO07,Cuanza Sul,Cuanza Sul,,,2,,-11.164,14.493
AO07053,2,Município,Municipality,Ebo,Ebo,ebo-ao07053,AO07053,,AO07,Cuanza Sul,Cuanza Sul,,,3,,-10.89,14.751
AO07054,2,Município,Municipality,Libolo (Calulo),Libolo (Calulo),libolo-calulo-ao07054,AO07054,,AO07,Cuanza Sul,Cuanza Sul,,,4,,-10.079,14.968
AO07055,2,Município,Municipality,Mussende,Mussende,mussende-ao07055,AO07055,,AO07,Cuanza Sul,Cuanza Sul,,,3,,-10.36,16.111
AO07056,2,Município,Municipality,Porto Amboim,Porto Amboim,porto-amboim-ao07056,AO07056,,AO07,Cuanza Sul,Cuanza Sul,,,2,,-10.617,14.003
AO07057,2,Município,Municipality,Quibala,Quibala,quibala-ao07057,AO07057,,AO07,Cuanza Sul,Cuanza Sul,,,4,,-10.76,15.367
AO07058,2,Município,Municipality,Quilenda,Quilenda,quilenda-ao07058,AO07058,,AO07,Cuanza Sul,Cuanza Sul,,,2,,-10.529,14.401
AO07059,2,Município,Municipality,Seles (Uku Seles),Seles (Uku Seles),seles-uku-seles-ao07059,AO07059,,AO07,Cuanza Sul,Cuanza Sul,,,3,,-11.438,14.498
AO07060,2,Município,Municipality,Sumbe (Ngangula),Sumbe (Ngangula),sumbe-ngangula-ao07060,AO07060,,AO07,Cuanza Sul,Cuanza Sul,,,4,,-11.436,13.924
AO07061,2,Município,Municipality,Cela (Waku Kungo),Cela (Waku Kungo),cela-waku-kungo-ao07061,AO07061,,AO07,Cuanza Sul,Cuanza Sul,,,3,,-11.31,15.351
AO08,1,Província,Province,Cunene,Cunene,cunene-ao08,AO08,,,,,,6,20,,-16.293,15.601
AO08062,2,Município,Municipality,Cahama,Cahama,cahama-ao08062,AO08062,,AO08,Cunene,Cunene,,,2,,-16.427,14.117
AO08063,2,Município,Municipality,Cuanhama,Cuanhama,cuanhama-ao08063,AO08063,,AO08,Cunene,Cunene,,,5,,-16.53,16.372
AO08064,2,Município,Municipality,Curoca,Curoca,curoca-ao08064,AO08064,,AO08,Cunene,Cunene,,,2,,-16.845,13.509
AO08065,2,Município,Municipality,Cuvelai,Cuvelai,cuvelai-ao08065,AO08065,,AO08,Cunene,Cunene,,,4,,-15.774,16.085
AO08066,2,Município,Municipality,Namacunde,Namacunde,namacunde-ao08066,AO08066,,AO08,Cunene,Cunene,,,2,,-16.977,16.589
AO08067,2,Município,Municipality,Ombadja,Ombadja,ombadja-ao08067,AO08067,,AO08,Cunene,Cunene,,,5,,-16.689,14.853
AO09,1,Província,Province,Huíla,Huíla,hula-ao09,AO09,,,,,,14,38,,-14.852,15.01
AO09068,2,Município,Municipality,Caconda,Caconda,caconda-ao09068,AO09068,,AO09,Huíla,Huíla,,,4,,-13.755,15.137
AO09069,2,Município,Municipality,Caluquembe,Caluquembe,caluquembe-ao09069,AO09069,,AO09,Huíla,Huíla,,,3,,-13.928,14.557
AO09070,2,Município,Municipality,Chibia,Chibia,chibia-ao09070,AO09070,,AO09,Huíla,Huíla,,,4,,-15.208,13.824
